NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 236 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.54, major to minor axis ratio is 2.19, bounding box occupancy is 0.47, spread on XZ axes is 158.89, height-to-standing ratio is 0.72, body height is 1326.3 mm, distance from floor is 771.6 mm, and floor contact ratio is 0.1612."
"In frame 237 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.55, major to minor axis ratio is 2.29, bounding box occupancy is 0.45, spread on XZ axes is 157.97, height-to-standing ratio is 0.74, body height is 1359.5 mm, distance from floor is 792.7 mm, and floor contact ratio is 0.1570."
"In frame 238 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.65, major to minor axis ratio is 2.39, bounding box occupancy is 0.46, spread on XZ axes is 156.73, height-to-standing ratio is 0.76, body height is 1400.4 mm, distance from floor is 811.2 mm, and floor contact ratio is 0.1550."
"In frame 239 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.68, major to minor axis ratio is 2.50, bounding box occupancy is 0.45, spread on XZ axes is 155.92, height-to-standing ratio is 0.78, body height is 1427.3 mm, distance from floor is 831.9 mm, and floor contact ratio is 0.1532."
"In frame 240 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.75, major to minor axis ratio is 2.63, bounding box occupancy is 0.45, spread on XZ axes is 152.98, height-to-standing ratio is 0.79, body height is 1460.4 mm, distance from floor is 848.1 mm, and floor contact ratio is 0.1532."
"In frame 241 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.82, major to minor axis ratio is 2.75, bounding box occupancy is 0.45, spread on XZ axes is 152.95, height-to-standing ratio is 0.82, body height is 1507.0 mm, distance from floor is 865.9 mm, and floor contact ratio is 0.1508."
"In frame 242 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.87, major to minor axis ratio is 2.86, bounding box occupancy is 0.44, spread on XZ axes is 150.68, height-to-standing ratio is 0.84, body height is 1546.9 mm, distance from floor is 883.1 mm, and floor contact ratio is 0.1473."
"In frame 243 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.95, major to minor axis ratio is 2.99, bounding box occupancy is 0.43, spread on XZ axes is 148.83, height-to-standing ratio is 0.86, body height is 1579.5 mm, distance from floor is 897.6 mm, and floor contact ratio is 0.1464."
"In frame 244 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.00, major to minor axis ratio is 3.13, bounding box occupancy is 0.44, spread on XZ axes is 147.25, height-to-standing ratio is 0.87, body height is 1601.2 mm, distance from floor is 910.1 mm, and floor contact ratio is 0.1456."
"In frame 245 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.10, major to minor axis ratio is 3.27, bounding box occupancy is 0.44, spread on XZ axes is 145.92, height-to-standing ratio is 0.89, body height is 1638.8 mm, distance from floor is 922.1 mm, and floor contact ratio is 0.1461."
"In frame 246 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.13, major to minor axis ratio is 3.38, bounding box occupancy is 0.44, spread on XZ axes is 142.71, height-to-standing ratio is 0.91, body height is 1679.1 mm, distance from floor is 934.8 mm, and floor contact ratio is 0.1414."
"In frame 247 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.24, major to minor axis ratio is 3.53, bounding box occupancy is 0.45, spread on XZ axes is 139.20, height-to-standing ratio is 0.91, body height is 1674.8 mm, distance from floor is 937.6 mm, and floor contact ratio is 0.1464."
"In frame 248 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.34, major to minor axis ratio is 3.65, bounding box occupancy is 0.47, spread on XZ axes is 135.77, height-to-standing ratio is 0.91, body height is 1675.6 mm, distance from floor is 940.8 mm, and floor contact ratio is 0.1474."
"In frame 249 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.43, major to minor axis ratio is 3.72, bounding box occupancy is 0.48, spread on XZ axes is 132.19, height-to-standing ratio is 0.92, body height is 1689.6 mm, distance from floor is 940.0 mm, and floor contact ratio is 0.1484."
"In frame 250 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.49, major to minor axis ratio is 3.79, bounding box occupancy is 0.49, spread on XZ axes is 129.45, height-to-standing ratio is 0.92, body height is 1684.5 mm, distance from floor is 941.4 mm, and floor contact ratio is 0.1473."
"In frame 251 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.58, major to minor axis ratio is 3.86, bounding box occupancy is 0.51, spread on XZ axes is 127.11, height-to-standing ratio is 0.92, body height is 1692.9 mm, distance from floor is 940.7 mm, and floor contact ratio is 0.1493."
"In frame 252 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.73, major to minor axis ratio is 3.91, bounding box occupancy is 0.53, spread on XZ axes is 124.77, height-to-standing ratio is 0.92, body height is 1687.3 mm, distance from floor is 941.8 mm, and floor contact ratio is 0.1484."
"In frame 253 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.82, major to minor axis ratio is 3.96, bounding box occupancy is 0.55, spread on XZ axes is 122.62, height-to-standing ratio is 0.93, body height is 1706.8 mm, distance from floor is 942.7 mm, and floor contact ratio is 0.1477."
"In frame 254 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.94, major to minor axis ratio is 3.95, bounding box occupancy is 0.57, spread on XZ axes is 121.87, height-to-standing ratio is 0.92, body height is 1692.7 mm, distance from floor is 946.8 mm, and floor contact ratio is 0.1440."
"In frame 255 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.92, major to minor axis ratio is 3.96, bounding box occupancy is 0.57, spread on XZ axes is 120.47, height-to-standing ratio is 0.92, body height is 1691.9 mm, distance from floor is 940.4 mm, and floor contact ratio is 0.1484."
"In frame 256 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.96, major to minor axis ratio is 3.95, bounding box occupancy is 0.58, spread on XZ axes is 119.15, height-to-standing ratio is 0.93, body height is 1718.2 mm, distance from floor is 945.1 mm, and floor contact ratio is 0.1435."
"In frame 257 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.98, major to minor axis ratio is 3.91, bounding box occupancy is 0.59, spread on XZ axes is 118.75, height-to-standing ratio is 0.93, body height is 1702.6 mm, distance from floor is 943.2 mm, and floor contact ratio is 0.1433."
"In frame 258 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.98, major to minor axis ratio is 3.87, bounding box occupancy is 0.59, spread on XZ axes is 118.48, height-to-standing ratio is 0.92, body height is 1698.6 mm, distance from floor is 943.1 mm, and floor contact ratio is 0.1416."
"In frame 259 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.95, major to minor axis ratio is 3.84, bounding box occupancy is 0.60, spread on XZ axes is 118.38, height-to-standing ratio is 0.93, body height is 1704.2 mm, distance from floor is 941.4 mm, and floor contact ratio is 0.1418."
"In frame 260 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.95, major to minor axis ratio is 3.80, bounding box occupancy is 0.61, spread on XZ axes is 118.40, height-to-standing ratio is 0.92, body height is 1695.9 mm, distance from floor is 937.0 mm, and floor contact ratio is 0.1419."
"In frame 261 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.94, major to minor axis ratio is 3.79, bounding box occupancy is 0.61, spread on XZ axes is 118.72, height-to-standing ratio is 0.92, body height is 1689.6 mm, distance from floor is 929.7 mm, and floor contact ratio is 0.1460."
"In frame 262 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.91, major to minor axis ratio is 3.73, bounding box occupancy is 0.62, spread on XZ axes is 119.11, height-to-standing ratio is 0.93, body height is 1714.0 mm, distance from floor is 927.0 mm, and floor contact ratio is 0.1426."
"In frame 263 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.92, major to minor axis ratio is 3.67, bounding box occupancy is 0.64, spread on XZ axes is 120.47, height-to-standing ratio is 0.93, body height is 1705.9 mm, distance from floor is 920.6 mm, and floor contact ratio is 0.1441."
"In frame 264 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.89, major to minor axis ratio is 3.62, bounding box occupancy is 0.65, spread on XZ axes is 121.91, height-to-standing ratio is 0.93, body height is 1706.8 mm, distance from floor is 914.6 mm, and floor contact ratio is 0.1462."
"In frame 265 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.89, major to minor axis ratio is 3.55, bounding box occupancy is 0.66, spread on XZ axes is 123.12, height-to-standing ratio is 0.92, body height is 1700.9 mm, distance from floor is 911.5 mm, and floor contact ratio is 0.1466."
"In frame 1 of sequence 'adl-14', the person is normal. The body height to width ratio is 4.15, major to minor axis ratio is 4.75, bounding box occupancy is 0.60, spread on XZ axes is 101.39, height-to-standing ratio is 0.95, body height is 1744.9 mm, distance from floor is 1121.6 mm, and floor contact ratio is 0.0000."
"In frame 2 of sequence 'adl-14', the person is normal. The body height to width ratio is 3.58, major to minor axis ratio is 4.44, bounding box occupancy is 0.58, spread on XZ axes is 97.86, height-to-standing ratio is 0.97, body height is 1793.8 mm, distance from floor is 1139.9 mm, and floor contact ratio is 0.0000."
"In frame 3 of sequence 'adl-14', the person is normal. The body height to width ratio is 3.45, major to minor axis ratio is 4.03, bounding box occupancy is 0.62, spread on XZ axes is 103.11, height-to-standing ratio is 0.96, body height is 1766.3 mm, distance from floor is 1151.3 mm, and floor contact ratio is 0.0000."
"In frame 4 of sequence 'adl-14', the person is normal. The body height to width ratio is 3.07, major to minor axis ratio is 3.79, bounding box occupancy is 0.59, spread on XZ axes is 103.33, height-to-standing ratio is 0.97, body height is 1786.1 mm, distance from floor is 1147.5 mm, and floor contact ratio is 0.0000."
"In frame 5 of sequence 'adl-14', the person is normal. The body height to width ratio is 2.30, major to minor axis ratio is 2.73, bounding box occupancy is 0.69, spread on XZ axes is 93.06, height-to-standing ratio is 0.83, body height is 1526.3 mm, distance from floor is 1075.2 mm, and floor contact ratio is 0.0000."
"In frame 6 of sequence 'adl-14', the person is normal. The body height to width ratio is 2.83, major to minor axis ratio is 3.10, bounding box occupancy is 0.67, spread on XZ axes is 97.76, height-to-standing ratio is 0.94, body height is 1732.0 mm, distance from floor is 1140.9 mm, and floor contact ratio is 0.0000."
"In frame 7 of sequence 'adl-14', the person is normal. The body height to width ratio is 2.70, major to minor axis ratio is 2.91, bounding box occupancy is 0.70, spread on XZ axes is 98.60, height-to-standing ratio is 0.95, body height is 1747.7 mm, distance from floor is 1135.4 mm, and floor contact ratio is 0.0000."
"In frame 8 of sequence 'adl-14', the person is normal. The body height to width ratio is 2.52, major to minor axis ratio is 2.73, bounding box occupancy is 0.71, spread on XZ axes is 97.79, height-to-standing ratio is 0.96, body height is 1757.3 mm, distance from floor is 1122.5 mm, and floor contact ratio is 0.0000."
"In frame 9 of sequence 'adl-14', the person is normal. The body height to width ratio is 2.28, major to minor axis ratio is 2.43, bounding box occupancy is 0.69, spread on XZ axes is 104.09, height-to-standing ratio is 0.95, body height is 1743.9 mm, distance from floor is 1116.8 mm, and floor contact ratio is 0.0000."
"In frame 10 of sequence 'adl-14', the person is normal. The body height to width ratio is 2.32, major to minor axis ratio is 2.31, bounding box occupancy is 0.73, spread on XZ axes is 107.50, height-to-standing ratio is 0.96, body height is 1763.5 mm, distance from floor is 1120.2 mm, and floor contact ratio is 0.0000."
